Order_ID,Ship_Mode,Customer_ID,Segment,State,Category,Sub_Category,Sales,order_date,ship_date,year,month,week,Lat,Long
CA-2017-152156,Second Class,CG-12520,Consumer,Kentucky,Furniture,Bookcases,261.96,2017-11-08,2017-11-11,2017,11,45,37.66814,-84.670067
CA-2017-152156,Second Class,CG-12520,Consumer,Kentucky,Furniture,Chairs,731.94,2017-11-08,2017-11-11,2017,11,45,37.66814,-84.670067
CA-2017-138688,Second Class,DV-13045,Corporate,California,Office Supplies,Labels,14.62,2017-06-12,2017-06-16,2017,6,24,36.116203,-119.681564
US-2016-108966,Standard Class,SO-20335,Consumer,Florida,Furniture,Tables,957.5775,2016-10-11,2016-10-18,2016,10,41,27.766279,-81.686783
US-2016-108966,Standard Class,SO-20335,Consumer,Florida,Office Supplies,Storage,22.368,2016-10-11,2016-10-18,2016,10,41,27.766279,-81.686783
CA-2015-115812,Standard Class,BH-11710,Consumer,California,Furniture,Furnishings,48.86,2015-06-09,2015-06-14,2015,6,23,36.116203,-119.681564
CA-2015-115812,Standard Class,BH-11710,Consumer,California,Office Supplies,Art,7.28,2015-06-09,2015-06-14,2015,6,23,36.116203,-119.681564
CA-2015-115812,Standard Class,BH-11710,Consumer,California,Technology,Phones,907.152,2015-06-09,2015-06-14,2015,6,23,36.116203,-119.681564
CA-2015-115812,Standard Class,BH-11710,Consumer,California,Office Supplies,Binders,18.504,2015-06-09,2015-06-14,2015,6,23,36.116203,-119.681564
CA-2015-115812,Standard Class,BH-11710,Consumer,California,Office Supplies,Appliances,114.9,2015-06-09,2015-06-14,2015,6,23,36.116203,-119.681564
CA-2015-115812,Standard Class,BH-11710,Consumer,California,Furniture,Tables,1706.184,2015-06-09,2015-06-14,2015,6,23,36.116203,-119.681564
CA-2015-115812,Standard Class,BH-11710,Consumer,California,Technology,Phones,911.424,2015-06-09,2015-06-14,2015,6,23,36.116203,-119.681564
CA-2018-114412,Standard Class,AA-10480,Consumer,North Carolina,Office Supplies,Paper,15.552,2018-04-15,2018-04-20,2018,4,15,35.630066,-79.806419
CA-2017-161389,Standard Class,IM-15070,Consumer,Washington,Office Supplies,Binders,407.976,2017-12-05,2017-12-10,2017,12,49,47.400902,-121.490494
US-2016-118983,Standard Class,HP-14815,Home Office,Texas,Office Supplies,Appliances,68.81,2016-11-22,2016-11-26,2016,11,47,31.054487,-97.563461
US-2016-118983,Standard Class,HP-14815,Home Office,Texas,Office Supplies,Binders,2.544,2016-11-22,2016-11-26,2016,11,47,31.054487,-97.563461
CA-2015-105893,Standard Class,PK-19075,Consumer,Wisconsin,Office Supplies,Storage,665.88,2015-11-11,2015-11-18,2015,11,45,44.268543,-89.616508
